EncampmentSite,Month,Day,Year,HomelessnessScore,Notes,,
mission,November,17,2023,1,2 cubic yards of trash and feces behind Mission 7/11 on Creek bank,,
lacantera,November,17,2023,1,"2 campers, abandones sites, feces and 3 cubic yards of trash",,
flatrocks,November,17,2023,x,,,
yulupa,November,17,2023,1,clean,,
webb,November,17,2023,x,,,
farmers,November,17,2023,1,"feces present in bushes, minimal trash ",,
shortt,November,17,2023,x,,,
sherwood,November,17,2023,x,,,
alderbrook,November,17,2023,1,"abandoned camp, no feces visible, under 2 cubic yards trash ",,
talbot,November,17,2023,x,,,
montgomery,November,17,2023,1,"feces, 1 cubic yard of plastics",,
brookwood,November,17,2023,0,,,
e,November,17,2023,1,"feces present before rains, likely mobilized now",,
sr_ave,November,17,2023,1,,,
a,November,17,2023,1,feces on stairway to creek ,,
101,November,17,2023,1,,,
olive,November,17,2023,1,feces on stairway to creek ,,
traintracks,November,17,2023,1,feces from old camp on top of bank in anise patch,,
3rd,November,17,2023,1,,,
pierson,November,17,2023,1,,,
dutton,November,17,2023,1,,,
link,November,17,2023,0,,,
mcfall,November,17,2023,0,,,
stonypt,November,17,2023,1,no feces visible at moment,,
carina,November,17,2023,0,,,
charro,November,17,2023,0,,,
place_to_play,November,17,2023,1,feces in bioswale that drains to creek. ,,
fulton,November,17,2023,1,no feces upon inspection,,
piner_creek,November,17,2023,x,,,
willowside,November,17,2023,x,,,
upstream,November,3,2023,x,,,
melita,November,3,2023,x,,,
brey,November,3,2023,x,,,
calistoga,November,3,2023,x,,,
boas,November,3,2023,x,,,
elaine,November,3,2023,x,,,
trailhead,November,3,2023,x,,,
mission,November,3,2023,1,"No feces seen at moment, prescense can be observed behind Mission 7/11",,
lacantera,November,3,2023,1,"2 cubic yrads plastics, feces",,
flatrocks,November,3,2023,1,"2.5 cubic yards plastics, feces",,
yulupa,November,3,2023,1,clean though,,
webb,November,3,2023,x,,,
farmers,November,3,2023,1,,,
shortt,November,3,2023,x,,,
sherwood,November,3,2023,x,,,
alderbrook,November,3,2023,x,,,
talbot,November,3,2023,x,,,
montgomery,November,3,2023,1,,,
brookwood,November,3,2023,1,,,
e,November,3,2023,1,,,
sr_ave,November,3,2023,1,,,
a,November,3,2023,1,,,
101,November,3,2023,1,,,
olive,November,3,2023,1,feces ,,
traintracks,November,3,2023,1,feces,,
3rd,November,3,2023,x,,,
pierson,November,3,2023,1,,,
dutton,November,3,2023,1,,,
link,November,3,2023,0,,,
mcfall,November,3,2023,0,,,
stonypt,November,3,2023,1,"0.5 cubic yards plastics, feces (I am counting used toilet paper as confirmation)",,
carina,November,3,2023,0,,,
charro,November,3,2023,0,,,
place_to_play,November,3,2023,1,"Very clean, feces still in bioswale from other users",,
fulton,November,3,2023,1,,,
piner_creek,November,3,2023,0,,,
willowside,November,3,2023,0,,,
upstream,December,1,2023,0,,,
melita,December,1,2023,x,,,
brey,December,1,2023,x,,,
calistoga,December,1,2023,x,,,
boas,December,1,2023,x,,,
elaine,December,1,2023,x,,,
trailhead,December,1,2023,0,,,
mission,December,1,2023,1,feces,,
lacantera,December,1,2023,0,,,
flatrocks,December,1,2023,x,,,
yulupa,December,1,2023,1,no feces visible,,
webb,December,1,2023,x,,,
farmers,December,1,2023,1,no feces visible,,
shortt,December,1,2023,x,,,
sherwood,December,1,2023,x,,,
alderbrook,December,1,2023,x,,,
talbot,December,1,2023,x,,,
montgomery,December,1,2023,1,feces,,
brookwood,December,1,2023,1,feces downstream along upperbanlk treeline,,
e,December,1,2023,1,no feces observed,,
sr_ave,December,1,2023,1,,,
a,December,1,2023,1,,,
101,December,1,2023,1,,,
olive,December,1,2023,1,"feces, 1.5 cubic yards plastics, large encampment",,
traintracks,December,1,2023,1,"feces, 6 cubic yards abandoned wet trash , large encampment",,
3rd,December,1,2023,1,"feces, 3 cubic yards abandoned wet trash, large encampment",,
pierson,December,1,2023,1,"feces, 3 cubic yards abandoned wet trash",,
dutton,December,1,2023,1,feces,,
link,December,1,2023,x,,,
mcfall,December,1,2023,x,,,
stonypt,December,1,2023,1,no feces seen,,
carina,December,1,2023,x,,,
charro,December,1,2023,x,,,
place_to_play,December,1,2023,x,no feces seen,,
fulton,December,1,2023,1,,,
piner_creek,December,1,2023,x,,,
willowside,December,1,2023,0,,,
upstream,December,8,2023,x,,,
melita,December,8,2023,x,,,
brey,December,8,2023,x,,,
calistoga,December,8,2023,x,,,
boas,December,8,2023,x,,,
elaine,December,8,2023,x,,,
trailhead,December,8,2023,0,,,
mission,December,8,2023,1,,,
lacantera,December,8,2023,1,,,
flatrocks,December,8,2023,0,,,
yulupa,December,8,2023,1,,,
webb,December,8,2023,1,feces,,
farmers,December,8,2023,1,feces,,
shortt,December,8,2023,x,,,
sherwood,December,8,2023,x,,,
alderbrook,December,8,2023,x,,,
talbot,December,8,2023,x,,,
montgomery,December,8,2023,1,feces,,
brookwood,December,8,2023,1,feces,,
e,December,8,2023,1,,,
sr_ave,December,8,2023,1,,,
a,December,8,2023,1,,,
101,December,8,2023,1,feces,,
olive,December,8,2023,1,,,
traintracks,December,8,2023,1,feces,,
3rd,December,8,2023,1,feces,,
pierson,December,8,2023,1,feces,,
dutton,December,8,2023,1,multiple feces,,
link,December,8,2023,0,,,
mcfall,December,8,2023,0,,,
stonypt,December,8,2023,1,feces at waters edge,,
carina,December,8,2023,x,,,
charro,December,8,2023,x,,,
place_to_play,December,8,2023,1,,,
fulton,December,8,2023,1,,,
piner_creek,December,8,2023,x,,,
willowside,December,8,2023,x,,,
upstream,December,15,2023,x,,,
melita,December,15,2023,x,,,
brey,December,15,2023,x,,,
calistoga,December,15,2023,x,,,
boas,December,15,2023,x,,,
elaine,December,15,2023,x,,,
trailhead,December,15,2023,x,,,
mission,December,15,2023,1,,,
lacantera,December,15,2023,1,,,
flatrocks,December,15,2023,0,,,
yulupa,December,15,2023,1,feces,,
webb,December,15,2023,1,feces,,
farmers,December,15,2023,1,feces,,
shortt,December,15,2023,x,,,
sherwood,December,15,2023,x,,,
alderbrook,December,15,2023,0,,,
talbot,December,15,2023,x,,,
montgomery,December,15,2023,1,feces,,
brookwood,December,15,2023,1,feces,,
e,December,15,2023,1,,,
sr_ave,December,15,2023,1,feces,,
a,December,15,2023,1,feces,,
101,December,15,2023,1,feces,,
olive,December,15,2023,1,feces,,
traintracks,December,15,2023,1,feces,,
3rd,December,15,2023,1,feces,,
pierson,December,15,2023,1,feces,,
dutton,December,15,2023,1,feces,,
link,December,15,2023,0,,,
mcfall,December,15,2023,0,,,
stonypt,December,15,2023,1,feces,,
carina,December,15,2023,1,,,
charro,December,15,2023,0,,,
place_to_play,December,15,2023,0,,,
fulton,December,15,2023,1,feces,,
piner_creek,December,15,2023,0,,,
willowside,December,15,2023,0,,,
upstream,January,5,2024,x,,,
melita,January,5,2024,x,,,
brey,January,5,2024,x,,,
calistoga,January,5,2024,x,,,
boas,January,5,2024,x,,,
elaine,January,5,2024,x,,,
trailhead,January,5,2024,1,,,
mission,January,5,2024,1,feces,,
lacantera,January,5,2024,0,,,
flatrocks,January,5,2024,0,,,
yulupa,January,5,2024,1,feces,,
webb,January,5,2024,1,"feces, multiple campers",,
farmers,January,5,2024,1,feces,,
shortt,January,5,2024,0,,,
sherwood,January,5,2024,0,,,
alderbrook,January,5,2024,x,,,
talbot,January,5,2024,x,,,
montgomery,January,5,2024,1,feces,,
brookwood,January,5,2024,1,,,
e,January,5,2024,0,,,
sr_ave,January,5,2024,0,,,
a,January,5,2024,1,feces,,
101,January,5,2024,1,feces,,
olive,January,5,2024,1,feces,,
traintracks,January,5,2024,1,feces,,
3rd,January,5,2024,1,"feces, multiple campers",,
pierson,January,5,2024,1,feces,,
dutton,January,5,2024,0,feces,,
link,January,5,2024,0,,,
mcfall,January,5,2024,0,,,
stonypt,January,5,2024,1,feces,,
carina,January,5,2024,0,,,
charro,January,5,2024,0,,,
place_to_play,January,5,2024,0,,,
fulton,January,5,2024,x,,,
piner_creek,January,5,2024,1,"pretty clean and organized, no feces",,
willowside,January,5,2024,0,,,
upstream,January,26,2024,x,,,
melita,January,26,2024,x,,,
brey,January,26,2024,x,,,
calistoga,January,26,2024,x,,,
boas,January,26,2024,x,,,
elaine,January,26,2024,x,,,
trailhead,January,26,2024,x,,,
mission,January,26,2024,1,feces,,
lacantera,January,26,2024,0,,,
flatrocks,January,26,2024,0,,,
yulupa,January,26,2024,1,feces,,
webb,January,26,2024,1,feces,,
farmers,January,26,2024,1,feces,,
shortt,January,26,2024,x,,,
sherwood,January,26,2024,x,,,
alderbrook,January,26,2024,x,,,
talbot,January,26,2024,x,,,
montgomery,January,26,2024,1,feces,,
brookwood,January,26,2024,1,feces,,
e,January,26,2024,0,,,
sr_ave,January,26,2024,1,feces,,
a,January,26,2024,1,feces,,
101,January,26,2024,1,feces,,
olive,January,26,2024,1,feces,,
traintracks,January,26,2024,1,feces,,
3rd,January,26,2024,1,feces,,
pierson,January,26,2024,1,feces,,
dutton,January,26,2024,1,feces,,
link,January,26,2024,0,,,
mcfall,January,26,2024,0,,,
stonypt,January,26,2024,1,feces,,
carina,January,26,2024,0,,,
charro,January,26,2024,0,,,
place_to_play,January,26,2024,0,,,
fulton,January,26,2024,1,,,
piner_creek,January,26,2024,1,,,
willowside,January,26,2024,0,,,
upstream,February,2,2024,x,,,
melita,February,2,2024,x,,,
brey,February,2,2024,x,,,
calistoga,February,2,2024,x,,,
boas,February,2,2024,x,,,
elaine,February,2,2024,x,,,
trailhead,February,2,2024,1,no feces seen,,
mission,February,2,2024,1,feces,,
lacantera,February,2,2024,0,,,
flatrocks,February,2,2024,0,,,
yulupa,February,2,2024,1,feces,,
webb,February,2,2024,1,"no feces seen, washed away",,
farmers,February,2,2024,1,feces,,
shortt,February,2,2024,x,,,
sherwood,February,2,2024,x,,,
alderbrook,February,2,2024,0,,,
talbot,February,2,2024,0,,,
montgomery,February,2,2024,1,feces,,
brookwood,February,2,2024,1,feces,,
e,February,2,2024,0,,,
sr_ave,February,2,2024,1,"no feces visible, washed away",,
a,February,2,2024,1,feces,,
101,February,2,2024,1,feces,,
olive,February,2,2024,1,feces,,
traintracks,February,2,2024,1,no feces seen,,
3rd,February,2,2024,1,feces,,
pierson,February,2,2024,1,feces,,
dutton,February,2,2024,1,feces,,
link,February,2,2024,0,,,
mcfall,February,2,2024,0,,,
stonypt,February,2,2024,1,feces,,
carina,February,2,2024,0,,,
charro,February,2,2024,0,,,
place_to_play,February,2,2024,0,,,
fulton,February,2,2024,1,feces,,
piner_creek,February,2,2024,0,,,
willowside,February,2,2024,0,,,
upstream,February,9,2024,x,,,
melita,February,9,2024,x,,,
brey,February,9,2024,x,,,
calistoga,February,9,2024,x,,,
boas,February,9,2024,x,,,
elaine,February,9,2024,x,,,
trailhead,February,9,2024,x,,,
mission,February,9,2024,1,feces,,
lacantera,February,9,2024,0,,,
flatrocks,February,9,2024,0,,,
yulupa,February,9,2024,1,feces,,
webb,February,9,2024,x,,,
farmers,February,9,2024,1,feces,,
shortt,February,9,2024,x,,,
sherwood,February,9,2024,x,,,
alderbrook,February,9,2024,x,,,
talbot,February,9,2024,x,,,
montgomery,February,9,2024,1,feces,,
brookwood,February,9,2024,1,feces,,
e,February,9,2024,0,,,
sr_ave,February,9,2024,1,,,
a,February,9,2024,1,feces,,
101,February,9,2024,1,feces,,
olive,February,9,2024,1,,,
traintracks,February,9,2024,1,,,
3rd,February,9,2024,1,feces,,
pierson,February,9,2024,1,feces,,
dutton,February,9,2024,1,feces,,
link,February,9,2024,1,,,
mcfall,February,9,2024,0,,,
stonypt,February,9,2024,1,feces,,
carina,February,9,2024,0,,,
charro,February,9,2024,0,,,
place_to_play,February,9,2024,0,feces in grass,,
fulton,February,9,2024,1,feces,,
piner_creek,February,9,2024,0,,,
willowside,February,9,2024,1,feces,,
upstream,February,16,2024,x,,,
melita,February,16,2024,x,,,
brey,February,16,2024,x,,,
calistoga,February,16,2024,x,,,
boas,February,16,2024,x,,,
elaine,February,16,2024,x,,,
trailhead,February,16,2024,x,,,
mission,February,16,2024,0,,,
lacantera,February,16,2024,0,,,
flatrocks,February,16,2024,0,,,
yulupa,February,16,2024,0,,,
webb,February,16,2024,x,,,
farmers,February,16,2024,1,feces,,
shortt,February,16,2024,x,,,
sherwood,February,16,2024,x,,,
alderbrook,February,16,2024,0,,,
talbot,February,16,2024,x,,,
montgomery,February,16,2024,1,feces,,
brookwood,February,16,2024,1,feces,,
e,February,16,2024,1,feces,,
sr_ave,February,16,2024,1,,,
a,February,16,2024,1,,,
101,February,16,2024,1,feces,,
olive,February,16,2024,1,feces,,
traintracks,February,16,2024,1,,,
3rd,February,16,2024,1,,,
pierson,February,16,2024,1,feces,,
dutton,February,16,2024,1,feces,,
link,February,16,2024,0,,,
mcfall,February,16,2024,0,,,
stonypt,February,16,2024,1,feces,,
carina,February,16,2024,0,,,
charro,February,16,2024,0,,,
place_to_play,February,16,2024,0,,,
fulton,February,16,2024,1,feces,,
piner_creek,February,16,2024,0,,,
willowside,February,16,2024,0,,,
upstream,March,1,2024,x,,,
melita,March,1,2024,x,,,
brey,March,1,2024,x,,,
calistoga,March,1,2024,x,,,
boas,March,1,2024,x,,,
elaine,March,1,2024,x,,,
trailhead,March,1,2024,x,,,
mission,March,1,2024,x,,,
lacantera,March,1,2024,x,,,
flatrocks,March,1,2024,x,,,
yulupa,March,1,2024,1,,,
webb,March,1,2024,x,,,
farmers,March,1,2024,1,feces,,
shortt,March,1,2024,x,,,
sherwood,March,1,2024,x,,,
alderbrook,March,1,2024,x,,,
talbot,March,1,2024,x,,,
montgomery,March,1,2024,1,feces,,
brookwood,March,1,2024,1,feces,,
e,March,1,2024,1,feces,,
sr_ave,March,1,2024,1,,,
a,March,1,2024,1,feces,,
101,March,1,2024,1,feces,,
olive,March,1,2024,1,feces,,
traintracks,March,1,2024,1,feces,,
3rd,March,1,2024,1,feces,,
pierson,March,1,2024,1,feces,,
dutton,March,1,2024,1,feces,,
link,March,1,2024,1,feces,,
mcfall,March,1,2024,0,,,
stonypt,March,1,2024,1,feces,,
carina,March,1,2024,0,,,
charro,March,1,2024,0,,,
place_to_play,March,1,2024,0,,,
fulton,March,1,2024,1,feces,,
piner_creek,March,1,2024,0,,,
willowside,March,1,2024,0,,,
upstream,March,15,2024,x,,,
melita,March,15,2024,x,,,
brey,March,15,2024,x,,,
calistoga,March,15,2024,x,,,
boas,March,15,2024,x,,,
elaine,March,15,2024,x,,,
trailhead,March,15,2024,x,,,
mission,March,15,2024,1,feces,,
lacantera,March,15,2024,1,feces,,
flatrocks,March,15,2024,0,,,
yulupa,March,15,2024,0,,,
webb,March,15,2024,1,feces,,
farmers,March,15,2024,1,feces,,
shortt,March,15,2024,x,,,
sherwood,March,15,2024,x,,,
alderbrook,March,15,2024,x,,,
talbot,March,15,2024,x,,,
montgomery,March,15,2024,1,feces,,
brookwood,March,15,2024,1,feces,,
e,March,15,2024,1,feces,,
sr_ave,March,15,2024,1,feces,,
a,March,15,2024,1,feces,,
101,March,15,2024,1,feces,,
olive,March,15,2024,1,feces,,
traintracks,March,15,2024,1,feces,,
3rd,March,15,2024,1,feces,,
pierson,March,15,2024,1,feces,,
dutton,March,15,2024,1,feces,,
link,March,15,2024,1,feces,,
mcfall,March,15,2024,1,feces,,
stonypt,March,15,2024,1,feces,,
carina,March,15,2024,1,feces,,
charro,March,15,2024,0,,,
place_to_play,March,15,2024,0,,,
fulton,March,15,2024,1,feces,,
piner_creek,March,15,2024,x,,,
willowside,March,15,2024,x,,,
